1;2014-11-28 15:12;3598;0;0
1;2014-11-28 15:13;112;16;5
1;2014-11-28 15:14;634;19;8
1;2014-11-28 15:14;662;11;0
1;2014-11-28 15:16;664;11;0
1;2014-11-28 15:18;609;11;0
1;2014-11-28 15:19;663;11;0
1;2014-11-28 15:20;3598;0;0
1;2014-11-28 15:21;663;11;0
2;2014-11-28 15:26;1282;25;4
2;2014-11-28 15:27;1288;35;14
1;2014-11-28 15:37;565;20;9
1;2014-11-28 15:41;664;11;0
1;2014-11-28 15:42;665;11;0
1;2014-11-28 15:44;115;26;3
2;2014-11-28 15:45;1304;26;5
1;2014-11-28 15:46;3598;1;0
1;2014-11-28 15:49;3598;0;0
1;2014-11-28 16:21;689;12;1
1;2014-11-28 16:22;630;18;7
1;2014-11-28 16:23;3598;30;1
3;2014-11-28 16:24;1872;31;0
3;2014-11-28 16:25;3598;0;0
